step_time,radius,diffusion_coef,tx_count,tx_centers,molecule_counts,rx_center,from,"first_rotations(x,y,z)","second_rotations(x,y,z)"
9.999999974752427e-07,5,79.4000015258789,2,"[[-2.9309892191456974, 4.05853169105369, -3.64781226419629], [-1.816084947682534, -8.164064871372634, 0.9950132854786318]]","[10000, 10000]","[0, 0, 0]","[2715, 875]","[305.7841491699219, 36.0791015625, 125.83605194091797]","[116.64525604248047, 353.2154541015625, 257.4588317871094]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-3.7513564861905655, 3.8791195980758375, 6.418115513327825], [2.8251708762062133, -4.141628076539461, -10.271183889992434]]","[10000, 10000]","[0, 0, 0]","[1863, 2710]","[21.371841430664062, 229.94305419921875, 314.0407409667969]","[18.93427085876465, 63.98261642456055, 304.2994689941406]"
9.999999974752427e-07,5,79.4000015258789,2,"[[0.9366637762146397, -6.515891680552293, -8.969181156531203], [-12.734197638036868, 1.902271829709712, -3.159752165676618]]","[10000, 10000]","[0, 0, 0]","[450, 1438]","[121.51264953613281, 126.27655792236328, 98.18026733398438]","[248.65687561035156, 166.21163940429688, 351.5038146972656]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-5.7009339230355005, 4.3262389253280915, -11.130508784562043], [0.25316734595829465, 4.59277348554328, 7.922755540227901]]","[10000, 10000]","[0, 0, 0]","[1090, 2367]","[157.67425537109375, 57.2601203918457, 142.80641174316406]","[214.7764892578125, 239.86166381835938, 266.8448791503906]"
9.999999974752427e-07,5,79.4000015258789,2,"[[8.638310409636635, -1.787804010961033, 4.7055674857837495], [3.0618109330747023, -4.798616479686886, -12.76435314124585]]","[10000, 10000]","[0, 0, 0]","[1058, 1328]","[82.75902557373047, 208.0767059326172, 168.30702209472656]","[259.62493896484375, 114.03433227539062, 122.54036712646484]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-1.1972198816518806, -7.881903179812329, -1.1695296793370122], [-2.3065632928032507, 13.304620742540179, -1.7205056642537702]]","[10000, 10000]","[0, 0, 0]","[694, 101]","[303.11529541015625, 171.654296875, 81.36309051513672]","[77.88673400878906, 172.73873901367188, 279.8353576660156]"
9.999999974752427e-07,5,79.4000015258789,2,"[[1.9749290877287495, 1.6807549987857648, 14.489525847628952], [-1.6347922791070324, 3.6043398567712694, 12.43600020886292]]","[10000, 10000]","[0, 0, 0]","[3231, 41]","[290.0010681152344, 280.14727783203125, 40.3993034362793]","[75.14598846435547, 252.34634399414062, 294.3972473144531]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-3.8671048870215086, 5.4241573189680885, -9.18875113726644], [-4.223481693572998, 1.607876751206878, 4.344022895720289]]","[10000, 10000]","[0, 0, 0]","[2796, 1602]","[336.29754638671875, 54.059173583984375, 125.48663330078125]","[277.4694519042969, 316.1322021484375, 159.158203125]"
9.999999974752427e-07,5,79.4000015258789,2,"[[3.8254104319230207, -8.484694434110546, -0.5930903030319427], [6.473420897848124, 8.702091842774692, 4.510772540941662]]","[10000, 10000]","[0, 0, 0]","[1124, 212]","[118.657470703125, 176.35382080078125, 114.26871490478516]","[9.223087310791016, 337.4175720214844, 53.35471725463867]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-10.541984258869038, 1.773865274384975, 10.325195299190746], [-0.8503288719333583, -0.9697793885375049, -10.753961003640649]]","[10000, 10000]","[0, 0, 0]","[1482, 0]","[273.7644348144531, 315.9949951171875, 170.44850158691406]","[68.69409942626953, 83.16088104248047, 228.7548370361328]"
